sentence_id	dataset	struct_status	result	details
hil-data,0.52	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.53	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.54	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.55	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.56	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.57	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.58	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.59	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.6	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.60	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.61	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.62	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.63	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.64	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.65	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.66	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.67	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.68	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.69	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.7	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.70	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.8	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.9	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.1	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.10	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.12	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.13	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.14	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.15	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.16	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.18	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.19	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.2	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.20	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.22	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.23	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.24	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.25	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.3	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.32	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.33	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.34	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.35	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.36	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.37	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.38	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.39	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.4	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.40	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.41	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.43	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.46	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.47	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.48	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.49	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.5	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.50	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.51	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.52	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.53	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.54	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.55	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.56	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.57	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.58	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.59	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.6	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.60	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.61	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.7	ped-gramm	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
ped-gramm,0.8	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
ped-gramm,0.9	ped-gramm	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.1	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.10	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.11	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.12	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.13	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.14	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.17	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.18	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.19	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.2	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.20	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.21	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.22	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.23	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.24	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.25	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.26	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.27	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.28	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.29	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.3	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.30	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.31	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.32	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.33	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.34	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.35	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.36	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.37	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.38	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.39	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.4	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.40	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.41	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.43	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.44	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.47	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.48	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.49	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.5	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.50	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.51	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.52	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.53	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.54	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.55	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.56	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.57	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.58	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.59	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.6	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.60	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.61	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.62	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.63	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.64	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.65	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.66	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.67	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.68	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.69	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.7	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.70	van-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
van-data,0.71	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.72	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.73	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.74	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.75	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
van-data,0.8	van-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
