expected_from_text	expected_from_uid	expected_split_forms	expected_split_tags	issue_type	source_file	source_id	text	token_form	token_tag	uid
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/hil-data.json	hil-data	liGeladi ipegitege nakidi nigotaGa	nigotaGa	N	55fe3cf7-0293-48e6-aa78-44822f50347e
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/hil-data.json	hil-data	liGeladi ipegitege nakidi nigotaGa	nigotaGa	N	c0441856-b259-4d76-a88e-33a7e211b208
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/hil-data.json	hil-data	nigotaGa liGeladi ipegitege akiidi	nigotaGa	N	9527d53d-7184-4b08-8bb2-51b7fff1429d
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	Eyo nigotaGa	nigotaGa	N	86f5c128-e931-4443-90cc-2359748ed69f
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	Eyo manitaGa nigotaGa	nigotaGa	N	d021bede-064b-4fd5-bb33-6c7cd4279c1b
ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b	"[""n"", ""ioladi""]"	"[""Ant"", ""n""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	ica nioladi nioxoa libinienigi	nioladi	N	881131dd-3f70-411a-ac7e-85557139d1e3
ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b	"[""n"", ""ioladi""]"	"[""Ant"", ""n""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	ica nioladi lodawa libinienigi	nioladi	N	95a7d135-4be0-463d-b443-76cc5828fc89
ijotawece etidi akiidi .	4ffc2f68-0474-488f-a94e-4065f952482a	"[""et"", ""i"", ""di""]"	"[""v"", ""Gnr"", ""Ncl""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	niwatece liwaGatena lodejedi etidi weiigi	etidi	VB	2c026af9-b8a1-4389-b658-00113b070dee
LotaGa Ganioxoa libinienaGa	39f34955-a828-47d7-808d-b3b3565b42d6	"[""l"", ""binie"", ""na"", ""Ga""]"	"[""Gen"", ""n"", ""Dim"", ""Plu""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	ijowa nigetedi liwigo libinienaGa	libinienaGa	N$	44646324-eb90-42f0-b944-21f0452109e2
jipacaGataGagitiwaji	e9b78452-925e-458b-848a-d52ab76f6840	"[""j"", ""pegi"", ""Ga"", ""taGa"", ""gi"", ""ti"", ""waji""]"	"[""Erg"", ""v"", ""Plu"", ""Apl"", ""Gnr"", """", ""Tot""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	akaami oko jipacaGataGagitiwaji	jipacaGataGagitiwaji	VBAPL	74a76be1-d4b6-42e1-9100-6a436a7fa065
naGani wetiGa eliodi me iwaGadi	8bad7bc3-f82f-46c0-9e63-c780104b11e2	"[""nG"", ""a"", ""ni""]"	"[""Anf"", ""Gnr"", ""Ncl""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	naGani wetiGa iwaGadi	naGani	D	a0bb1280-1040-4dff-9311-a1a31049b6f8
NaGani wetiGa ane iwaGadi eniteloco iGonagi	38f73c1c-ddfb-4153-9310-d24214cd68e7	"[""i"", ""Gonagi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	ani wetiGa me iwaGadi eniteloco iGonagi	iGonagi	N$	ba34b659-bcb8-4aa2-b9f4-b969ba786b12
NaGani wetiGa ane iwaGadi eniteloco iGonagi	38f73c1c-ddfb-4153-9310-d24214cd68e7	"[""i"", ""Gonagi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	ani wetiGa ane iwaGadi eniteloco iGonagi	iGonagi	N$	61da4017-2140-4577-82e4-d5108efae675
