host_token	issue_type	known_glosses_elsewhere	morpheme_form	source_file	source_id	split_index	text	uid
lixagotaGaGa	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	idiwa noGojedi lixagotaGaGa adakake loojedi	fad6e8d3-1e9f-451c-aaa7-fd28aecfd967
lemé	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	ijo lemé Maria ipegitegi weiigi	6599689a-3fbe-4598-8827-78aceeff3931
leonigipi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	idiwa leonigipi Maria libinienigipi	f240dcfe-ca05-42aa-8644-07b9e3464e1a
leonigipi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	ijowa leonigipi iwaalo idi metaGa	b97e5b2f-d0da-4238-8ee6-2c64ded91f76
niwatece	missing_split_gloss_but_known_for_same_morpheme	"[""canoa"", ""n""]"	watece	data/ped-gramm.json	ped-gramm	2	ajo niwatece ipegitege weiigi	1b99ecb9-5656-4c38-b60b-fbbe643708fb
ja	missing_split_gloss_but_known_for_same_morpheme	"[""perfectivo/completivo""]"	jaG	data/ped-gramm.json	ped-gramm	1	ajo liwatece ja iwaGadi	ed98d4d1-638c-4377-8c6d-5511855636d1
ja	missing_split_gloss_but_known_for_same_morpheme	"[""perfectivo/completivo""]"	jaG	data/van-data.json	van-data	1	iwaalo ja libiniena	d26cfc71-a117-4817-9f35-4a7d23fd1f88
ja	missing_split_gloss_but_known_for_same_morpheme	"[""perfectivo/completivo""]"	jaG	data/van-data.json	van-data	1	iwaalo ja ninitibeke	e3b84bb7-7e6e-474c-9ad6-c6a47b409a5a
ja	missing_split_gloss_but_known_for_same_morpheme	"[""perfectivo/completivo""]"	jaG	data/van-data.json	van-data	1	iwalepodi ja libinienigipi	9b107abc-b49f-4ce2-9c43-30c7e5b5f8b2
digoida	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	2	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
ipegetege	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	ica liGeladi ipegetege	79a6cd4e-b585-437a-9084-1fa077dec3b6
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	ica looligi lidi	070d221f-f72d-4055-9c82-ddc383743e6a
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	ica looligi dapico	68277d1f-c30b-4c4f-ba9e-c2883cc133af
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	ica looligi ja dapico	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
iGeladi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	iGeladi idei mijo naigi naGajo	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	2	Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d
digoida	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	2	iGeladi idei digoida	a4ccc755-a644-4b04-ab1b-698e7acea4cc
ipegitaGagi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	1	iGeladi ipegitaGagi	82117289-be52-45d0-886d-a5747eb20ea2
akaami	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	2	akaami oko jipacaGataGagitiwaji	74a76be1-d4b6-42e1-9100-6a436a7fa065
niGidowa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/ped-gramm.json	ped-gramm	2	niGidowa waca lotiidi dapikoGo	d3e098e5-4edd-4c24-81cf-78ff4a4d398c
NiGijo	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	NiGijo liwenigi libinienigi	cf44903e-0c33-44bc-a146-1fb8a4ccb973
NiGida	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	NiGida lodajo lodawa aidei dineigi	3a27c7c6-ecd6-45c0-a71e-b4aa2a242a3d
NiGidoa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	NiGidoa waca lotiidi dapicoGo	8dda04f0-f7e8-46d6-b41d-b65dd214f01b
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	nigidiwa okokodi ligetedi midi niwigo libinienaGa	79cb0e55-9c06-4cb1-91b3-2b5233e1678f
idinitibeci	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	1	Ee ageliodi me idinitibeci	1e9df213-90da-4674-8889-4ac858df72fe
idiwaGadi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	1	ee idiwaGadi	1e1fafc0-29c6-41d4-a0d2-4c825d9af376
idinitibeci	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	1	aGeliodi me idinitibeci .	90ca38d8-e063-4c98-af51-4b9022ade506
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	aidejonaGa midi Godoigi	dff00f05-7be1-4d62-b3ed-b8a8870851e9
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/hil-data.json	hil-data	2	niGijo nelokodi Maria idei midi akiidi	3ab5703a-eb5c-48d2-b75b-992da5e60dd6
niGida	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	niGida liwenigi libinienigi	a85fda39-1575-4120-9432-8fb534ebdbd2
niGijo	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	niGijo nigaanigawaanigi manitaGa lomigo niwatece	235440ba-548e-4df6-8d9e-214cc8714f8f
aG@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	nGijo lodajo ajo lodowa aGica digoida liGeladi	0c7e64fb-f070-4faa-a12a-c110cdf4bf16
idiwa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	idiwa wetiadi iwaGadi	6459c008-b2ad-4517-8227-b525616b720d
niGidowa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	niGidowa waca lotiidi dapicoGo	b4e1df8d-6590-4ce9-9f72-c0b054398c89
idowa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	idowa waca lotiidi dapicoGo	278e4c5c-aaab-4ca3-8f5e-277610fb80c2
aGica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	ee aGica inikeGegi	c3c548d7-b154-437e-9baf-541a1bbbab6e
aG@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	ee aGidininitibeci	c4d99cf1-e781-4efb-83ff-4a0ab873b7ec
aGica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGica daGa jipegitege	d3095a7e-477d-405e-9ea2-85bfdacad7d3
aGica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGica daGa jipegitegi	813f2ad7-42fb-4fbd-84b4-1957c68aa4f9
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGeewi mica iniKGigi	42df6a83-6ae1-49b2-bd99-fbed7e2a083b
iniKGigi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	aGeewi mica iniKGigi	42df6a83-6ae1-49b2-bd99-fbed7e2a083b
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGeyo mica inikGigi	27d94732-46ea-4286-a1d4-b2861806a579
inikGigi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	aGeyo mica inikGigi	27d94732-46ea-4286-a1d4-b2861806a579
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGidedonaGa midi Godoigi	d3952c8a-1ac1-4255-be0b-63978fdf368b
me@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	2	aGide jonaGa midi Godoigi	fbae0277-3aad-4812-9229-94179b5a97a0
ipegitegi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	ijo lemé Maria ipegitegi weiigi	6599689a-3fbe-4598-8827-78aceeff3931
idiwa	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""1s"", ""3"", ""M"", ""MASC"", ""Masc"", ""masc""]"	i	data/van-data.json	van-data	1	idiwa leonigipi Maria libinienigipi	f240dcfe-ca05-42aa-8644-07b9e3464e1a
etadi	missing_split_gloss_but_known_for_same_morpheme	"[""estar"", ""estar em/ficar em (temporário)"", ""está""]"	et	data/ped-gramm.json	ped-gramm	1	niwatece etadi weiigi	b2e3ea43-0d68-46ee-9f33-938610cc8aec
etadi	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/ped-gramm.json	ped-gramm	3	niwatece etadi weiigi	b2e3ea43-0d68-46ee-9f33-938610cc8aec
aG@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/ped-gramm.json	ped-gramm	3	ee aGidininitibeci	3b45c470-6164-4fcf-a4d5-90be0f27eb1d
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/ped-gramm.json	ped-gramm	3	IiGeladi midi akiidi	edb3d8e5-d0c3-4ee6-97a8-ecb3afc84ded
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	NaGajo lomigo Pedilo idei madi niwatece	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	dibixodi ideiticoaci maditaGa	4e9130da-80fd-4ac2-8665-956c95b299e2
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	nigidiwa okokodi ligetedi midi niwigo libinienaGa	79cb0e55-9c06-4cb1-91b3-2b5233e1678f
noGojedi	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	2	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	83fdcd4c-338f-4a9f-8545-da8539e67e9d
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	aidejonaGa midi Godoigi	dff00f05-7be1-4d62-b3ed-b8a8870851e9
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/hil-data.json	hil-data	3	niGijo nelokodi Maria idei midi akiidi	3ab5703a-eb5c-48d2-b75b-992da5e60dd6
idiwa	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/van-data.json	van-data	2	idiwa wetiadi iwaGadi	6459c008-b2ad-4517-8227-b525616b720d
noGojedi	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/van-data.json	van-data	2	idiwa noGojedi lixagotaGaGa adakake loojedi	fad6e8d3-1e9f-451c-aaa7-fd28aecfd967
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/van-data.json	van-data	3	aGidedonaGa midi Godoigi	d3952c8a-1ac1-4255-be0b-63978fdf368b
me@	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/van-data.json	van-data	3	aGide jonaGa midi Godoigi	fbae0277-3aad-4812-9229-94179b5a97a0
idiwa	missing_split_gloss_but_known_for_same_morpheme	"[""PL"", ""deitad(o)(a)"", ""deitad(o|a)"", ""deitado""]"	di	data/van-data.json	van-data	2	idiwa leonigipi Maria libinienigipi	f240dcfe-ca05-42aa-8644-07b9e3464e1a
niwatece	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
niwatece	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	niwatece iwaGadi	69948fe6-81f6-4faa-a344-8f8c47486943
niwatece	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	niwatece etadi weiigi	b2e3ea43-0d68-46ee-9f33-938610cc8aec
niwatece	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	ajo niwatece ipegitege weiigi	1b99ecb9-5656-4c38-b60b-fbbe643708fb
nigotaGa	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	liGeladi idei nigotaGa	e9d6dfb6-656d-44aa-ba17-86289fd72268
nioladi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""hither"", ""retirapossuidor,fotosemdono""]"	n	data/ped-gramm.json	ped-gramm	1	ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b
