source_id	source_tag	split_tag_sequence	count
ped-gramm	NEG	Neg|Erg|v|Apl	2
ped-gramm	VB	Inv|v	2
ped-gramm	N$	Gnr|n|Plu	2
ped-gramm	C	c|Gnr|Ncl	2
ped-gramm	N$	|	2
ped-gramm	NEG	|Inv|v	2
ped-gramm	ADJ	Inv|v	2
hil-data	NEG	Neg|Inv|v	2
hil-data	N$	Gen|n|Dim|Gnr|Plu	2
hil-data	N	n|Plu	2
hil-data	VB	||v|	2
hil-data	NEG	|||	2
hil-data	NEG	Neg|Abs|Inv|v|Plu	2
hil-data	N	n|Dim|Gnr|Dim|Gnr	2
hil-data	N$	Gen|canoa	2
van-data	D	|Gnr|Ncl	2
van-data	N$	Gen|n|Dim	2
van-data	N$	Gen|n|Dim|Plu	2
van-data	N$	Gen|v|Der	2
van-data	C	c|Gnr|Ncl	2
van-data	D	Anf|Gnr|Ncl|Plu	2
van-data	N$	Gen|v|Der|Gnr	2
van-data	VB	Erg|v|Apl	2
van-data	N$	|||	2
van-data	N$	Gnr|n|Gnr|Plu	2
ped-gramm	N$	Gen|canoa	1
ped-gramm	T	PFV	1
ped-gramm	VB	v	1
ped-gramm	D	||	1
ped-gramm	N	Ant|cidade	1
ped-gramm	NEG	Neg|Gen|n	1
ped-gramm	T	t	1
ped-gramm	N$	Gen|v|Der|Gnr	1
ped-gramm	N$	Gen|n|Der|Gnr	1
ped-gramm	WPRO	Wpro|Adj	1
ped-gramm	PRO$	Dem|Gnr|Ncl	1
ped-gramm	C	c|Gnr|Ncl|Plu|Apl	1
ped-gramm	D	Adv|Gen|Ncl	1
ped-gramm	VBAPL	Erg|v|OBL|Apl	1
ped-gramm	PRO	Gnr|Ncl	1
ped-gramm	D	Gnr|Ncl|Coll	1
ped-gramm	N$	Gen|Ant|n	1
ped-gramm	VBU	Inv|v	1
ped-gramm	NEG	Neg|Inv|vu	1
ped-gramm	C	c|Gnr|Ncl|Apl	1
ped-gramm	PRO	v|Plu	1
ped-gramm	NEG	Neg|Abs|Inv|v	1
ped-gramm	VBAPL	Erg|v|Plu|Hon|Apl|Coll	1
ped-gramm	NEG	|	1
ped-gramm	N	v|Der|Gnr	1
ped-gramm	PRO	Pro|Plu	1
ped-gramm	D	Dem|Gnr|Ncl|Plu	1
ped-gramm	VB	Inv|v|Plu	1
ped-gramm	WPRO	Wpro|v|Der	1
ped-gramm	NEG	Neg|Inv|v	1
hil-data	N$	Gnr|n	1
hil-data	WPRO	|	1
hil-data	N$	|	1
hil-data	CNEG+VBU	Neg|	1
hil-data	VBU	Inv|v	1
hil-data	VB	Erg|v|Dir	1
hil-data	C	c|Gnr|Ncl|Apl	1
hil-data	N	n|Gnr|Ep|Plu	1
hil-data	N$	Gen|n|Dim|Gnr	1
hil-data	N	Abs|v|Dir|Tot	1
hil-data	NEG	Neg|v	1
hil-data	N	n	1
hil-data	N	Ant|n	1
hil-data	N$	Gen|v|Der|Plu	1
hil-data	PRO	v|Plu	1
hil-data	VB	||	1
hil-data	VBAPL	Erg||Plu|Apl	1
hil-data	VBAPL	Erg|v|Plu|Apl|Gnr||Tot	1
hil-data	C	|Pro|Apl	1
van-data	N$	Gen|Ant|n	1
van-data	VB	Dir|v	1
van-data	N$	||	1
van-data	C	c|Gnr|Ncl|Apl	1
van-data	C	c|	1
van-data	N$	Gen|v|Dir|Nmlz|Gnr	1
van-data	VB	Abs|v|Dir|Tot	1
van-data	NEG	||	1
van-data	N$	Gen|v||Dim	1
van-data	VB	Gnr|Ncl	1
van-data	D	||	1
van-data	D	Dem|Gnr|Ncl|Plu	1
van-data	VB	|	1
van-data	N$	Gen|v|Der|Plu	1
van-data	NEG	Neg|Inv|vu	1
van-data	NEG+D	Neg|Gnr|Ncl	1
van-data	NEG	||||Dir	1
van-data	N	v|Der|Gnr	1
van-data	D	Pro	1
van-data	NEG	Neg|Inv|v|Dir	1
van-data	NEG+D	Neg||	1
van-data	NEG+D	||	1
van-data	NEG	Neg|Pro|a	1
van-data	VBAPL	Erg|v|Plu|Apl|Gnr	1
van-data	NEG	Neg|Abs|Inv|v|Plu	1
van-data	VBAPL	Erg|v|Plu|Apl|Gnr||Tot	1
van-data	EV	ev|t	1
van-data	N$	|	1
van-data	VBAPL	||	1
van-data	Q	||	1
van-data	C	c|Apl	1
