source_id	source_tag	token_form	count
van-data	N$	Gadodawa	1
van-data	VB	noxilece	1
van-data	N$	lojetedi	1
van-data	N$	lodejedi	1
van-data	VB	etidi	1
van-data	N$	Gawenigi	1
van-data	N$	liwenigi	1
van-data	N$	niwenigi	1
van-data	Q	daGaxa	1
van-data	VB	dakake	1
van-data	NPR	Pedro	1
van-data	D	Ijo	1
van-data	D	@adi	1
van-data	N$	lomigo	1
van-data	D	niGijoa	1
van-data	N$	lionigipi	1
van-data	N	dibixodi	1
van-data	N	iwalepodi	1
van-data	ADV	daGaxa	1
van-data	N$	linikeGegi	1
van-data	N$	lapicaGa	1
van-data	N$	lapicaGigi	1
van-data	VB	ninitibigiwaji	1
van-data	D	nGijo	1
van-data	N$	lodajo	1
van-data	N$	lodowa	1
van-data	Q	@ica	1
van-data	D	ica	1
van-data	N	niganigawanigi	1
van-data	D	niGidiwa	1
van-data	VB	ani	1
van-data	WPRO	ane	1
van-data	D	niGidowa	1
van-data	D	idowa	1
van-data	N	nigetedi	1
van-data	N	niwigo	1
van-data	N	noGojedi	1
van-data	N$	lixagotaGaGa	1
van-data	VBU	@dakake	1
van-data	VB	eteyo	1
van-data	N$	inikeGegi	1
van-data	VB	@idininitebeci	1
van-data	D	@ee	1
van-data	N	niinikeGegi	1
van-data	D	ee	1
van-data	VB	@dininitibeci	1
van-data	VBAPL	jipegitege	1
van-data	VBAPL	jipegitegi	1
van-data	VB	idiwaaGadi	1
van-data	VB	jigipegitege	1
van-data	VB	jigipegitegi	1
van-data	PRO	@ee	1
van-data	ADJ	@ewi	1
van-data	N$	iniKGigi	1
van-data	PRO	@eyo	1
van-data	N$	inikGigi	1
van-data	VBAPL	JipecaGataGagi	1
van-data	VBAPL	jipacaGataGagitiwaji	1
van-data	EV	one@	1
van-data	T	@jaGa	1
van-data	N$	lemé	1
van-data	N	biju	1
van-data	N$	libiwe	1
van-data	N	niale	1
van-data	VB	ixagodi	1
van-data	N	bejoli	1
van-data	Q	idiwa	1
van-data	D	idi	1
van-data	C	metaGa	1
van-data	VBAPL	ipegitege	1
