sent_id,text,gold_word_count,old_word_count,new_word_count,old_tokenization_exact,new_tokenization_exact,old_mwt_exact,new_mwt_exact,old_text,new_text
ped-gramm-40,iGeladi digoida weiigi.,4,4,4,True,True,True,True,iGeladi digoida weiigi.,iGeladi digoida weiigi.
ped-gramm-41,iGeladi idei weiigi.,4,4,4,True,True,True,True,iGeladi idei weiigi.,iGeladi idei weiigi.
ped-gramm-42,nigotaGa liGeladi ipegitegi weiigi.,5,5,5,True,True,True,True,nigotaGa liGeladi ipegitegi weiigi.,nigotaGa liGeladi ipegitegi weiigi.
ped-gramm-43,lotaGa GanaginaGa libinienaGa.,4,4,4,True,True,True,True,lotaGa GanaginaGa libinienaGa.,lotaGa GanaginaGa libinienaGa.
ped-gramm-44,nGida niwenigi daGaxa me dakake loojedi.,7,7,7,True,True,True,True,nGida niwenigi daGaxa me dakake loojedi.,nGida niwenigi daGaxa me dakake loojedi.
ped-gramm-45,João liGeladi napioi.,4,4,4,True,True,True,True,João liGeladi napioi.,João liGeladi napioi.
ped-gramm-46,liGeladi João napioi.,4,4,4,True,True,True,True,liGeladi João napioi.,liGeladi João napioi.
ped-gramm-47,liGeladi ipegitege niweiigi nigotaGa.,5,5,5,True,True,True,True,liGeladi ipegitege niweiigi nigotaGa.,liGeladi ipegitege niweiigi nigotaGa.
ped-gramm-48,liGeladi ipegitegi niweiigi nigotaGa.,5,5,5,True,True,True,True,liGeladi ipegitegi niweiigi nigotaGa.,liGeladi ipegitegi niweiigi nigotaGa.
ped-gramm-49,Niwatece iwaGadi codaa adakake loojedi.,7,7,7,True,True,True,True,Niwatece iwaGadi codaa adakake loojedi.,Niwatece iwaGadi codaa adakake loojedi.
ped-gramm-51,ee aGidininitibeci.,4,4,4,True,True,True,True,ee aGidininitibeci.,ee aGidininitibeci.
