sent_uid	status	src_count	gold_count	src_forms	gold_forms	ignored_final_punct	text_orig
341bf09a-2ef8-455a-8b6b-88373c617dae	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
38c689d8-332d-4406-b236-de4593e4853a	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
39925f76-d73f-423f-95cd-f88bd78f2a6e	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
3ab5703a-eb5c-48d2-b75b-992da5e60dd6	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
3aba0004-0ce2-4392-a334-ef814428ec0d	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
3b45c470-6164-4fcf-a4d5-90be0f27eb1d	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
3f077b37-aa95-4012-9efb-a21630cdd6e9	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
4242d34b-9096-45a2-a666-502a2cb9ca49	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
42671da9-e433-4319-86a0-2a2cb8777a40	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
42b65fc9-cec4-40a9-8aec-cdeec3731df8	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
42df6a83-6ae1-49b2-bd99-fbed7e2a083b	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
444f95ae-8ed7-422e-84f1-aae6d4af2b6d	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
46190f73-f21e-4073-b09c-8b2d17c6668e	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
46bbf9a8-c650-4e4b-a44f-78bfe6c5d979	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
4e0112b1-baf1-4a7a-bf9e-88fabbe1edc5	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
4e9130da-80fd-4ac2-8665-956c95b299e2	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
4ffc2f68-0474-488f-a94e-4065f952482a	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
55fe3cf7-0293-48e6-aa78-44822f50347e	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
5739aca1-95fc-4584-9550-d7bd73c3c361	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
5bc48b27-0755-475f-813e-7a259f3c3c9e	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
5d76c7ee-51ce-47b0-a85d-ddc7f7d33f5f	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
61da4017-2140-4577-82e4-d5108efae675	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
651a68ed-90a0-45b7-9eb5-411bc2c189c7	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
6599689a-3fbe-4598-8827-78aceeff3931	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
675ef4d4-ebe8-4601-bf42-908deb0df82b	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
6852927c-53de-411d-9ed9-e0f9d78309cd	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
6d2a809e-0d32-4254-9489-f9e356e22493	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
71aff593-7b38-4c17-9563-4503985dbd03	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
73ceda1b-be14-4e75-9b1e-2a490d7df366	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
74a76be1-d4b6-42e1-9100-6a436a7fa065	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
79cb0e55-9c06-4cb1-91b3-2b5233e1678f	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
81048a6f-e084-4b0a-965a-f41fb5c53ff7	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
813f2ad7-42fb-4fbd-84b4-1957c68aa4f9	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
82bfae64-45e7-403f-bcd0-190e00f4520f	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
83a62eb4-5a9e-43b0-b6b4-bded8dbd8ffe	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
83fdcd4c-338f-4a9f-8545-da8539e67e9d	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
874c123b-4c43-4001-bfce-8af4af0e5805	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
8b1a9983-4dfd-49e8-9285-92c56c84b652	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
8dda04f0-f7e8-46d6-b41d-b65dd214f01b	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
90ca38d8-e063-4c98-af51-4b9022ade506	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
9527d53d-7184-4b08-8bb2-51b7fff1429d	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
969ba2f3-88dc-417e-ad3f-16ce88b4c762	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
9a136412-a636-4e5e-aa54-ac684ae7bed3	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
a0ab1cad-f01e-49bb-8f31-5edf4fa4c102	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
a0bb1280-1040-4dff-9311-a1a31049b6f8	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
a2910ce3-a0d2-4eac-bcc3-2da15db88b90	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
a74fea0a-dd87-4c4d-8670-9db66f5b5b16	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
aad13f14-bd9a-462a-9a43-68ba69a81519	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
abe20c80-8394-478c-92eb-feef1512e5ed	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
b3c03f67-7664-43b7-9de8-b5243321eeb7	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
b8878027-73d2-4b11-bc18-cbdcf5637e55	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
b97e5b2f-d0da-4238-8ee6-2c64ded91f76	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
ba34b659-bcb8-4aa2-b9f4-b969ba786b12	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
bbd6b80b-3236-4172-8bd5-ba3fb404049e	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
bf632295-26f8-4ee6-979f-33f090ef0471	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
c0441856-b259-4d76-a88e-33a7e211b208	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
c25b098d-6b0a-4416-a31d-6d7219685a63	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
c3225d86-7037-4f8c-9981-8e92b6a081d6	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
c3c548d7-b154-437e-9baf-541a1bbbab6e	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
c4302bef-3de9-4f3c-b762-f6b77183f263	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
c4d99cf1-e781-4efb-83ff-4a0ab873b7ec	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
d0cb9423-93bb-4b45-a02a-fee23a6dd8bb	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
d3095a7e-477d-405e-9ea2-85bfdacad7d3	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
d369088d-7d87-44b9-a956-2d5bd5f955e1	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
d3952c8a-1ac1-4255-be0b-63978fdf368b	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
d3e098e5-4edd-4c24-81cf-78ff4a4d398c	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
d543f155-c01f-4b5e-add1-0533b8ac6e15	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
d5dcd2bf-a3d0-4074-a241-f706b153134f	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
dff00f05-7be1-4d62-b3ed-b8a8870851e9	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
e189be3e-9290-4d1c-b343-74d3858ce7cd	TOKEN_TABLE_UID_NOT_IN_GOLD	2					
e1bcbfa4-89e4-4d25-8d84-bc9ed0b2f7e4	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
e58e38a7-f117-48f1-8a17-9d896867fe60	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
e9b78452-925e-458b-848a-d52ab76f6840	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
ea70209d-4f3c-4bf9-8d93-2d91fa0f928c	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
ebff5ffa-8a9d-4f8b-9960-38f70b344c19	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
edb3d8e5-d0c3-4ee6-97a8-ecb3afc84ded	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
eeb42af3-fe5a-4b7d-97ea-b381ab589860	TOKEN_TABLE_UID_NOT_IN_GOLD	6					
ef4d298a-643b-4c08-9bdd-f7c6b63ac9ec	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
f0c7c722-031a-4c6e-ad7e-739402475c99	TOKEN_TABLE_UID_NOT_IN_GOLD	3					
f240dcfe-ca05-42aa-8644-07b9e3464e1a	TOKEN_TABLE_UID_NOT_IN_GOLD	4					
f4f18c18-728c-4d6b-b7dd-2df62c4a829a	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
f9af3f8f-3b06-4756-8676-b5ffb2c24b44	TOKEN_TABLE_UID_NOT_IN_GOLD	1					
fad6e8d3-1e9f-451c-aaa7-fd28aecfd967	TOKEN_TABLE_UID_NOT_IN_GOLD	5					
fbae0277-3aad-4812-9229-94179b5a97a0	TOKEN_TABLE_UID_NOT_IN_GOLD	7					
